Country,Views,Monetizable views,Total estimated earnings,AFV earnings,YouTube earnings,YouTube rental earnings,Subscribers net change,Subscribers gained,Subscribers lost,Total ratings,Dislikes,Likes,Favorites net change,Favorites added,Favorites removed,Comments,Shares,Call-to-Action Clicks,Call-to-Action Impressions,Call-to-Action Click through rate,Total engagement
Colombia,612,,$0,$0,$0,$0,,,,1,0,1,0,0,0,0,0,,,0.00,1
Israel,611,,$0,$0,$0,$0,1,1,0,1,0,1,0,0,0,1,0,,,0.00,2
Singapore,597,,$0,$0,$0,$0,,,,3,0,3,1,1,0,1,0,,,0.00,5
Belgium,567,,$0,$0,$0,$0,1,1,0,2,0,2,1,1,0,0,0,,,0.00,3
Indonesia,532,,$0,$0,$0,$0,1,1,0,1,0,1,0,0,0,0,0,,,0.00,1
Chile,530,,$0,$0,$0,$0,,,,0,0,0,0,1,1,1,0,,,0.00,3
Argentina,514,,$0,$0,$0,$0,,,,0,0,0,2,2,0,0,0,,,0.00,2
Ireland,436,,$0,$0,$0,$0,,,,4,0,4,2,2,0,1,0,,,0.00,7
Austria,420,,$0,$0,$0,$0,,,,1,0,1,2,3,1,0,0,,,0.00,5
Switzerland,414,,$0,$0,$0,$0,,,,2,0,2,0,0,0,1,0,,,0.00,3
Denmark,404,,$0,$0,$0,$0,,,,0,0,0,2,2,0,0,0,,,0.00,2
Hungary,391,,$0,$0,$0,$0,,,,0,0,0,2,2,0,0,0,,,0.00,2
Norway,343,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Philippines,330,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Hong Kong,328,,$0,$0,$0,$0,,,,1,0,1,-1,1,2,1,0,,,0.00,5
Russia,327,,$0,$0,$0,$0,,,,1,0,1,1,1,0,0,0,,,0.00,2
Iraq,324,,$0,$0,$0,$0,1,1,0,1,0,1,1,1,0,0,0,,,0.00,2
Czech Republic,318,,$0,$0,$0,$0,,,,2,0,2,1,1,0,0,0,,,0.00,3
Greece,313,,$0,$0,$0,$0,,,,1,0,1,1,1,0,0,0,,,0.00,2
_unknown_,280,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Peru,265,,$0,$0,$0,$0,,,,0,0,0,1,1,0,0,0,,,0.00,1
Romania,237,,$0,$0,$0,$0,,,,0,0,0,0,0,0,0,1,,,0.00,1
Tunisia,232,,$0,$0,$0,$0,,,,1,0,1,0,0,0,0,0,,,0.00,1
Jordan,230,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Bangladesh,217,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
New Zealand,210,,$0,$0,$0,$0,,,,1,0,1,0,0,0,0,0,,,0.00,1
South Africa,209,,$0,$0,$0,$0,1,1,0,2,0,2,0,0,0,0,1,,,0.00,3
Morocco,205,,$0,$0,$0,$0,,,,1,0,1,0,0,0,0,0,,,0.00,1
Algeria,193,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Slovenia,187,,$0,$0,$0,$0,,,,1,0,1,1,2,1,1,0,,,0.00,5
Sudan,179,,$0,$0,$0,$0,,,,0,0,0,0,0,0,1,0,,,0.00,1
Puerto Rico,163,,$0,$0,$0,$0,,,,1,0,1,0,0,0,0,0,,,0.00,1
Slovakia,147,,$0,$0,$0,$0,,,,1,0,1,0,0,0,0,0,,,0.00,1
Croatia,141,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Serbia,139,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Finland,133,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Sri Lanka,131,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Ecuador,130,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
United Arab Emirates,130,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
